Year,Poison,Gases,Hanging,Drowning,Firearms,Cutting,Jumping,Other
1980,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0,0,0
1999,280,291,1229,68,648,42,166,74
2000,284,318,1230,73,616,82,195,72
2001,279,273,1276,73,615,71,186,78
2002,334,231,1341,53,585,79,203,77
2003,318,239,1291,57,541,75,163,50
2004,312,222,1348,70,567,71,190,77
2005,288,216,1220,69,567,84,198,53
2006,347,206,1248,64,513,88,206,55
2007,343,193,1337,59,498,88,178,81
2008,402,214,1451,64,513,91,183,71
2009,385,189,1399,70,563,76,228,71
2010,382,166,1408,73,518,98,195,70
2011,367,167,1427,65,528,96,229,93
2012,371,183,1476,77,528,95,221,89
2013,360,185,1574,72,559,125,208,76
2014,358,179,1646,71,604,109,227,75
2015,310,166,1473,57,544,97,221,71
2016,300,170,1590,47,561,112,258,74
2017,267,133,1543,45,507,97,197,91
2018,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0
2022,0,0,0,0,0,0,0,0
2023,0,0,0,0,0,0,0,0
2024,0,0,0,0,0,0,0,0
2025,0,0,0,0,0,0,0,0